file_type,array_size,num_threads,num_cores,job_name,num_nodes,ntasks_per_node,time_spent
cOpenMP.c,10,1,1,job1,1,1,0.000013
cPThread.c,10,1,1,job2,1,1,0.000333
pythonWithThreads.py,10,1,1,job3,1,1,0.0011
cNoThread.c,10,1,1,job4,1,1,0.000006
pythonNoThreads.py,10,1,1,job5,1,1,0.0002
cPThread.c,20,1,1,job7,1,1,0.000123
cOpenMP.c,20,1,1,job6,1,1,0.000065
pythonWithThreads.py,20,1,1,job8,1,1,0.0017
pythonNoThreads.py,20,1,1,job10,1,1,0.0012
cNoThread.c,20,1,1,job9,1,1,0.000040
pythonNoThreads.py,30,1,1,job15,1,1,0.0042
cPThread.c,30,1,1,job12,1,1,0.000278
pythonWithThreads.py,30,1,1,job13,1,1,0.0038
cOpenMP.c,30,1,1,job11,1,1,0.000144
cNoThread.c,30,1,1,job14,1,1,0.000126
cOpenMP.c,40,1,1,job16,1,1,0.000321
pythonWithThreads.py,40,1,1,job18,1,1,0.0065
cNoThread.c,40,1,1,job19,1,1,0.000482
cPThread.c,40,1,1,job17,1,1,0.000735
pythonNoThreads.py,40,1,1,job20,1,1,0.0083
cOpenMP.c,50,1,1,job21,1,1,0.000617
pythonWithThreads.py,50,1,1,job23,1,1,0.0156
pythonNoThreads.py,50,1,1,job25,1,1,0.0161
cPThread.c,50,1,1,job22,1,1,0.001098
cNoThread.c,50,1,1,job24,1,1,0.000587
cOpenMP.c,100,1,1,job26,1,1,0.004829
pythonNoThreads.py,100,1,1,job30,1,1,0.0979
pythonWithThreads.py,100,1,1,job28,1,1,0.0943
cNoThread.c,100,1,1,job29,1,1,0.006238
cPThread.c,100,1,1,job27,1,1,0.007047
cOpenMP.c,150,1,1,job31,1,1,0.016995
cPThread.c,150,1,1,job32,1,1,0.027697
cNoThread.c,150,1,1,job34,1,1,0.015429
pythonWithThreads.py,150,1,1,job33,1,1,0.3923
pythonNoThreads.py,150,1,1,job35,1,1,0.4183
cOpenMP.c,10,20,20,job36,1,1,0.108059
cPThread.c,10,20,20,job37,1,1,0.000480
pythonWithThreads.py,10,20,20,job38,1,1,0.0019
cOpenMP.c,20,20,20,job39,1,1,0.114038
cPThread.c,20,20,20,job40,1,1,0.000503
pythonWithThreads.py,20,20,20,job41,1,1,0.0031
cOpenMP.c,40,20,20,job42,1,1,0.013680
cPThread.c,40,20,20,job43,1,1,0.000833
pythonWithThreads.py,40,20,20,job44,1,1,0.0110
cOpenMP.c,50,20,20,job45,1,1,0.006617
cOpenMP.c,100,20,20,job48,1,1,0.195337
pythonWithThreads.py,50,20,20,job47,1,1,0.0158
cPThread.c,50,20,20,job46,1,1,0.001187
cOpenMP.c,150,20,20,job51,1,1,0.004942
pythonWithThreads.py,100,20,20,job50,1,1,0.0973
cPThread.c,100,20,20,job49,1,1,0.002640
pythonWithThreads.py,150,20,20,job53,1,1,0.2491
cPThread.c,150,20,20,job52,1,1,0.002688
cOpenMP.c,10,40,40,job54,1,1,0.048169
cPThread.c,10,40,40,job55,1,1,0.002268
